state,time,candidate,votes,share,text
PA,2020-11-06T21:00:31Z,Trump,3300062,0.4932,"PA Presidential Election Results - Called for Biden (D)
 
Biden (D): 49.54% (3,314,702 votes)
Trump (R): 49.32% (3,300,062 votes)
 
Biden Margin: 14,640 (+1,253)
% Difference: 0.22%
 
Estimated: &gt; 95% votes in
 
More results here: https://t.co/BgcQsEyt3j"
AZ,2020-11-06T20:31:08Z,Biden,1564883,0.49920000000000003,"AZ Presidential Election Results

Biden (D): 49.92% (1,564,883 votes)
Trump (R): 48.65% (1,525,114 votes)

Biden Margin: +39,769 (-1,185)
Estimated: &gt; 95% votes in

More results here: https://t.co/7CxbLsQ3gY"
AZ,2020-11-06T20:31:08Z,Trump,1525114,0.4865,"AZ Presidential Election Results

Biden (D): 49.92% (1,564,883 votes)
Trump (R): 48.65% (1,525,114 votes)

Biden Margin: +39,769 (-1,185)
Estimated: &gt; 95% votes in

More results here: https://t.co/7CxbLsQ3gY"
AZ,2020-11-06T19:52:38Z,Biden,1562200,0.49939999999999996,"AZ Presidential Election Results

Biden (D): 49.94% (1,562,200 votes)
Trump (R): 48.63% (1,521,246 votes)

Biden Margin: +40,954 (-348)
Estimated: &gt; 95% votes in

More results here: https://t.co/7CxbLsQ3gY"
AZ,2020-11-06T19:52:38Z,Trump,1521246,0.4863,"AZ Presidential Election Results

Biden (D): 49.94% (1,562,200 votes)
Trump (R): 48.63% (1,521,246 votes)

Biden Margin: +40,954 (-348)
Estimated: &gt; 95% votes in

More results here: https://t.co/7CxbLsQ3gY"
PA,2020-11-06T19:29:59Z,Biden,3311518,0.4953,"PA Presidential Election Results - Called for Biden (D)
 
Biden (D): 49.53% (3,311,518 votes)
Trump (R): 49.33% (3,298,131 votes)
 
Biden Margin: 13,387 (+186)
% Difference: 0.2%
 
Estimated: &gt; 95% votes in
 
More results here: https://t.co/BgcQsEyt3j"
PA,2020-11-06T19:29:59Z,Trump,3298131,0.49329999999999996,"PA Presidential Election Results - Called for Biden (D)
 
Biden (D): 49.53% (3,311,518 votes)
Trump (R): 49.33% (3,298,131 votes)
 
Biden Margin: 13,387 (+186)
% Difference: 0.2%
 
Estimated: &gt; 95% votes in
 
More results here: https://t.co/BgcQsEyt3j"
AZ,2020-11-06T19:28:33Z,Biden,1561841,0.49939999999999996,"AZ Presidential Election Results

Biden (D): 49.94% (1,561,841 votes)
Trump (R): 48.62% (1,520,539 votes)

Biden Margin: +41,302 (-5,750)
Estimated: &gt; 95% votes in

More results here: https://t.co/7CxbLsQ3gY"
AZ,2020-11-06T19:28:33Z,Trump,1520539,0.48619999999999997,"AZ Presidential Election Results

Biden (D): 49.94% (1,561,841 votes)
Trump (R): 48.62% (1,520,539 votes)

Biden Margin: +41,302 (-5,750)
Estimated: &gt; 95% votes in

More results here: https://t.co/7CxbLsQ3gY"
PA,2020-11-06T18:28:56Z,Biden,3310409,0.4953,"PA Presidential Election Results - Called for Biden (D)
 
Biden (D): 49.53% (3,310,409 votes)
Trump (R): 49.33% (3,297,208 votes)
 
Biden Margin: 13,201 (+981)
% Difference: 0.2%
 
Estimated: &gt; 95% votes in
 
More results here: https://t.co/BgcQsEyt3j"
PA,2020-11-06T18:28:56Z,Trump,3297208,0.49329999999999996,"PA Presidential Election Results - Called for Biden (D)
 
Biden (D): 49.53% (3,310,409 votes)
Trump (R): 49.33% (3,297,208 votes)
 
Biden Margin: 13,201 (+981)
% Difference: 0.2%
 
Estimated: &gt; 95% votes in
 
More results here: https://t.co/BgcQsEyt3j"
NV,2020-11-06T18:06:29Z,Biden,627104,0.4974,"NV Presidential Election Results

Biden (D): 49.74% (627,104 votes)
Trump (R): 48.14% (606,967 votes)

Biden Margin: +20,137 (-415)
Estimated: &gt; 95% votes in

More results here: https://t.co/Skqy3QUPov"
NV,2020-11-06T18:06:29Z,Trump,606967,0.4814,"NV Presidential Election Results

Biden (D): 49.74% (627,104 votes)
Trump (R): 48.14% (606,967 votes)

Biden Margin: +20,137 (-415)
Estimated: &gt; 95% votes in

More results here: https://t.co/Skqy3QUPov"
PA,2020-11-06T18:01:37Z,Biden,3307877,0.49520000000000003,"PA Presidential Election Results - Called for Biden (D)
 
Biden (D): 49.52% (3,307,877 votes)
Trump (R): 49.34% (3,295,657 votes)
 
Biden Margin: 12,220 (+2,644)
% Difference: 0.18%
 
Estimated: &gt; 95% votes in
 
More results here: https://t.co/BgcQsEyt3j"
PA,2020-11-06T18:01:37Z,Trump,3295657,0.49340000000000006,"PA Presidential Election Results - Called for Biden (D)
 
Biden (D): 49.52% (3,307,877 votes)
Trump (R): 49.34% (3,295,657 votes)
 
Biden Margin: 12,220 (+2,644)
% Difference: 0.18%
 
Estimated: &gt; 95% votes in
 
More results here: https://t.co/BgcQsEyt3j"
